instance_id,severity,task_labels,primary_label,label_count,patch_hunks_total,patch_unrelated,has_excess_patch,tests_total,tests_unrelated,has_excess_test,has_modified_tests,vague_spec_score,legitimacy,suggested_fix,mentioned_entities,recommendations
instance_NodeBB__NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan,MODERATE,weak_coverage;wide_tests,weak_coverage,2,17,1,True,3,0,False,False,0.1600,bug,"Add confirmation-object lookup support (`db.mget` plus `getConfirmObjs`) so `loadUserInfo` can derive pending/expired flags, store explicit `expires` timestamps in confirmation objects instead of rely",src/database/mongo/main.js;src/database/postgres/main.js;src/database/redis/main.js;src/user/email.js;loadUserInfo;getConfirmObjs;db.mget;db.getObjects;User.validateEmail;user.email.getEmailForValidation;user.email.confirmByUid;user.setUserField;User.sendValidationEmail;user.email.sendValidationEmail;User.email.expireValidation,"SCOPE_CREEP: 1 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [Key methods should return multiple keys and null if key doesn't exist, Key methods should return empty array if keys is empty array or falsy, test/user/emails.js | email confirmation (library methods) canSendValidation should return true if it has been long enough to re-send confirmation] require UNRELATED patch hunks to pass."
instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,CLEAN,clean,clean,1,5,0,False,4,0,False,False,0.1800,enhancement,Relocate/update the `hide_qt_warning` warning-filtering tests to exercise the implementation in `qutebrowser/utils/qtlog.py` and preserve the same filtering behavior as before the move.,log.py;qtlog.py;qutebrowser/utils/qtlog.py;hide_qt_warning;filter;QtWarningFilter;Filter;LogRecord,No contamination signals detected.
instance_NodeBB__NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,MINOR,weak_coverage,weak_coverage,1,6,0,False,4,0,False,False,0.1200,feature_request,"Create `src/controllers/well-known.js` with a `webfinger` handler, create `src/routes/well-known.js` to register `/.well-known/webfinger` and `/.well-known/change-password`, remove the change-password",src/controllers/well-known.js;src/routes/well-known.js;webfinger;nconf.get;Request;Response,No contamination signals detected.
instance_qutebrowser__qutebrowser-c580ebf0801e5a3ecabc54f327498bb753c6d5f2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,MINOR,weak_coverage,weak_coverage,1,6,0,False,11,0,False,False,0.1300,bug,"Generate a widened sequence of hostnames from the request host by successively removing the leftmost label, short-circuit for disabled blocking and whitelist matches first, and block when any widened ",qutebrowser/utils/urlutils.py;widened_hostnames,No contamination signals detected.
instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,CLEAN,clean,clean,1,8,0,False,4,0,False,False,0.1400,bug,"Remove the legacy helper functions `_is_py_id` and `_is_fqcn` and related Python 2/3 compatibility code from `dataclasses.py`, introduce a new helper `is_python_identifier`, and have `is_valid_collect",dataclasses.py;_is_py_id;_is_fqcn;is_python_identifier;is_valid_collection_name,No contamination signals detected.
instance_ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6-v0f01c69f1e2528b935359cfe578530722bca2c59,MINOR,weak_coverage,weak_coverage,1,27,1,True,6,0,False,True,0.0800,bug,"Introduce a `use_netrc` parameter, defaulting to `true`, in the `uri` module and underlying request helpers so callers can set it to `false` to ignore `.netrc` and preserve explicitly specified `Autho",Request.__init__;Request.open;open_url;fetch_url;url_get;uri;run;Request,SCOPE_CREEP: 1 hunk(s) modify code unrelated to the problem description.
instance_internetarchive__openlibrary-4a5d2a7d24c9e4c11d3069220c0685b736d5ecde-v13642507b4fc1f8d234172bf8129942da2c2ca26,MINOR,scope_creep;weak_coverage,scope_creep,2,6,4,True,1,0,False,False,0.1200,enhancement,"Add a `get_statement_values` method to `WikidataEntity` in `openlibrary/core/wikidata.py` that looks up the requested property in `statements`, iterates that property's statement objects, collects non",openlibrary/core/wikidata.py;get_statement_values;WikidataEntity,SCOPE_CREEP: 4 hunk(s) modify code unrelated to the problem description.
instance_qutebrowser__qutebrowser-f631cd4422744160d9dcf7a0455da532ce973315-v35616345bb8052ea303186706cec663146f0f184,MODERATE,wide_tests,wide_tests,1,10,3,True,38,0,True,True,0.3200,enhancement,"Introduce a `VersionChange` enum in `qutebrowser/config/configfiles.py` with values `unknown`, `equal`, `downgrade`, `patch`, `minor`, and `major`, plus a `matches_filter(filterstr: str)` method for `",qutebrowser/config/configfiles.py;matches_filter;_set_changed_attributes;VersionChange;StateConfig,SCOPE_CREEP: 3 hunk(s) modify code unrelated to the problem description.; WIDE_TESTS: 7 OFF_TOPIC assertions beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_gravitational__teleport-3fa6904377c006497169945428e8197158667910-v626ec2a48416b10a88641359a169d99e935ff037,CLEAN,clean,clean,1,52,0,False,46,0,False,True,0.1800,bug,"Initialize the Kubernetes session uploader at service startup; ensure audit emission for `exec`, `portForward`, and `catchAll` is not tied to a request context that dies on client disconnect; have `Fo",proxy/forwarder.go:773;exec;portForward;catchAll;Authorize;GetClusterConfig;GetKubeServices;ProcessKubeCSR;ServeHTTP;Forwarder;clusterSession;ForwarderConfig;reversetunnel.Site;Site;httprouter.Router,No contamination signals detected.
instance_navidrome__navidrome-7073d18b54da7e53274d11c9e2baef1242e8769e,MINOR,scope_creep;weak_coverage,scope_creep,2,43,2,True,3,0,False,False,0.1900,enhancement,"Make the concrete Client types and their low-level methods unexported/package-private within each music-service package, and keep external usage routed through the existing agent-level interfaces.",Client,"SCOPE_CREEP: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [TestLastFM, TestListenBrainz, TestSpotify] require UNRELATED patch hunks to pass."
instance_internetarchive__openlibrary-dbbd9d539c6d4fd45d5be9662aa19b6d664b5137-v08d8e8889ec945ab821fb156c04c7d2e2810debb,MINOR,weak_coverage,weak_coverage,1,4,0,False,1,0,False,False,0.1500,bug,"When body data is present, do not merge the query string; only use the body. Do not inject default parent keys when nested/indexed body keys for that parent exist. Only fill defaults for absent non-an",unflatten,No contamination signals detected.
instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,MODERATE,wide_tests;weak_coverage,wide_tests,2,36,1,True,10,1,True,True,0.1000,enhancement,"Define public `IteratingStates` (`IntEnum`) and `FailedStates` (`IntFlag`) in `lib/ansible/executor/play_iterator.py`, update iterator and strategy logic to use those enums for state transitions/compa",lib/ansible/executor/play_iterator.py;strategy/__init__.py;strategy/linear.py;__str__;PlayIterator;HostState;IteratingStates;FailedStates;MetaPlayIterator;IntEnum;IntFlag,SCOPE_CREEP: 1 hunk(s) modify code unrelated to the problem description.; WIDE_TESTS: 1 UNRELATED tests beyond problem scope.
instance_gravitational__teleport-c782838c3a174fdff80cafd8cd3b1aa4dae8beb2,SEVERE,approach_lock;scope_creep,scope_creep,2,21,4,True,1,0,False,False,0.1800,bug,"Detect legacy peers using `isPreV7Cluster` with a `7.0.0` version threshold, use a legacy remote-proxy watch policy that watches aggregate `ClusterConfig` instead of split config kinds, remove legacy-",isPreV7Cluster;ForAuth;ForProxy;ForRemoteProxy;ForNode;ForOldRemoteProxy;NewDerivedResourcesFromClusterConfig;UpdateAuthPreferenceWithLegacyClusterConfig;ClusterConfig;ClusterConfigDerivedResources;AuthPreference,SCOPE_CREEP: 4 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [TestState] require UNRELATED patch hunks to pass.
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,CLEAN,clean,clean,1,2,0,False,17,0,False,False,0.1200,bug,,qutebrowser/utils/utils.py;parse_duration,No contamination signals detected.
instance_element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7,MINOR,scope_creep,scope_creep,1,21,20,True,5,0,False,False,0.2200,bug,"Introduce a centralized shortcut representation and matcher in `KeyBindingsManager.ts` by defining a `KeyCombo` type and an `isKeyComboMatch` function that enforces exact modifier matching, handles `c",KeyBindingsManager.ts;src/KeyBindingsManager.ts;isKeyComboMatch;KeyCombo;KeyboardEvent;React.KeyboardEvent,"SCOPE_CREEP: 20 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 5 circular dependency(ies) — tests [test/KeyBindingsManager-test.ts | KeyBindingsManager | should match basic key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match key + modifier key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match key + multiple modifiers key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match ctrlOrMeta key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match advanced ctrlOrMeta key combo] require UNRELATED patch hunks to pass."
instance_future-architect__vuls-407407d306e9431d6aa0ab566baa6e44e5ba2904,CLEAN,clean,clean,1,2,0,False,1,0,False,False,0.1600,bug,,Dockerfile;trivy.json;parse.json,No contamination signals detected.
